"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST-1,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,,LEO,,0,599,626,1.93E-03,82.4,96.9,,,,,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492,2013-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST-2,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,,LEO,,0,558,582,1.73E-03,64.88,96.06,53,,,3 yrs.,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133,2013-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akebono (EXOS-D),Japan,Japan,"Institute of Space and Aeronautical Science, University of Tokyo",Civil,Space Science,,Elliptical,,0,259,3893,2.15E-01,75.04,150.4,,294,270 (EOL),1 yr.,"Institute of Space and Aeronautical Science, University of Tokyo",Japan,Uchinoura Space Center,Mu 3S2,1989-016A,19822,1989-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALiCE  (AFIT LEO iMESA CNT E),NR,USA,US Air Force Institute of Technology,Military,Technology Development,,LEO,,0,443,886,3.15E-02,120.3,98,5,,,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,2013-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphasat I-XL  (Inmarsat IV-A F4),United Kingdom,United Kingdom/ESA,"INMARSAT, Ltd./European Space Agency",Commercial/Government,Communications/Technology Development,,GEO,,25,35786,35787,1.19E-05,0.02,1436.09,6650,3370,12000,15 yrs.,Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2013-038A,39215,2013-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat-2A (Algeria Satellite 2A),Algeria,Algeria,Centre National des Techniques Spatiales (CNTS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,672,674,1.42E-04,98.1,98.2,130,,,5 yrs.,EADS Astrium,France/UK/Germany/Spain,Sriharikota Launch Station,PSLV,2010-035D,36798,2010-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-1,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.02,35776,35797,2.49E-04,0.04,1436.1,4545,2000,"9,500 (EOL)",15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2004-031A,28393,2004-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,35767,35805,4.51E-04,0.03,1436.08,5465,,15300,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,35781,35791,1.19E-04,0.03,1436.05,6265,2778,14000,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,2013-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,35784,35795,1.3E-04,0.08,1436.24,2938,,,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616,2014-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-1 (Americom 1, GE-1)",USA,USA,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,-103.02,35772,35800,3.32E-04,0.03,1436.1,2783,1600,"6,500 (EOL)",15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,1996-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-10 (Americom-10, GE 10)",USA,USA,SES World Skies,Commercial,Communications,,GEO,,-134.97,35775,35797,2.61E-04,0.01,1436.09,2315,907,"6,500 (EOL)",15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-003A,28154,2004-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-11 (Americom-11, GE 11)",USA,USA,SES World Skies,Commercial,Communications,,GEO,,-130.93,35774,35797,2.73E-04,0.04,1436.07,2340,"2,316 (BOL)","6,500 (EOL)",15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,2004-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-15 (Americom-15),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-105.04,35777,35795,2.13E-04,0.04,1436.08,4200,,,15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446,2004-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-16 (Americom-16),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-84.98,35780,35793,1.54E-04,0.02,1436.1,4312,,,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,2004-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-18 (Americom 18),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-104.97,35773,35800,3.2E-04,0.06,1436.1,2081,918,,15 yrs.,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,2006-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-2 (Americom 2, GE-2)",USA,USA,SES World Skies,Commercial,Communications,,GEO,,-100.98,35774,35798,2.85E-04,0.05,1436.1,2648,1600,"6,500 (EOL)",15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,1997-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-21 (Americom 21),United Kingdom,USA,SES World Skies,Commercial,Communications,,GEO,,-124.86,35778,35793,1.78E-04,3,1436.1,2500,,5000,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,2008-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-3 (Americom 3, GE-3)",USA,USA,SES World Skies,Commercial,Communications,,GEO,,-86.96,35777,35795,2.13E-04,0.02,1436.08,2845,1600,"6,500 (EOL)",15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,1997-050A,24936,1997-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-4 (Americom-4, GE-4)",USA,USA,SES World Skies,Commercial,Communications,,GEO,,-100.99,35781,35791,1.19E-04,0.01,1436.1,3909,2500,,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,1999-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-5 (Americom-5, GE-5)",USA,USA,SES World Skies,Commercial,Communications,,GEO,,-78.93,35777,35796,2.25E-04,0.03,1436.1,1698,769,,15 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 44L,1998-063B,25516,1998-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-6 (Americom-6, GE-6)",USA,USA,SES World Skies,Commercial,Communications,,GEO,,-71.98,35778,35795,2.02E-04,0.05,1436.12,3901,2500,,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,2000-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-7 (Americom-7, GE-7)",USA,USA,SES World Skies,Commercial,Communications,,GEO,,-136.94,35773,35798,2.97E-04,0.01,1436.08,1935,912,"6,500 (EOL)",15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-054B,26495,2000-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,USA,SES World Skies,Commercial,Communications,,GEO,,-139,35773,35798,2.97E-04,0.03,1436.07,2015,919,3300,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,2000-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-9 (Americom 9, GE-12)",USA,USA,SES World Skies,Commercial,Communications,,GEO,,-82.95,35773,35798,2.97E-04,0.05,1436.08,4100,2000,10000,15+ yrs.,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton K,2003-024A,27820,2003-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 2,NR,Israel,Israel Aircraft Industries,Military/Commercial,Communications,,GEO,,-3.98,35778,35794,1.9E-04,0.05,1436.08,1400,646,"1,900 (EOL)",12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Soyuz-Fregat ,2003-059A,28132,2003-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 3,NR,Israel,Space-Communication Ltd,Military/Commercial,Communications,,GEO,,-3.99,35783,35789,7.12E-05,0.04,1436.1,,,,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,2008-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 4,NR,Israel,Space-Communication Ltd,Military/Commercial,Communications,,GEO,,65,35633,35796,1.94E-03,0.01,1432,,,,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237,2013-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 5,NR,Israel,Space-Communication Ltd,Military/Commercial,Communications,,GEO,,17,35595,36007,4.88E-03,0.09,1436.08,1600,,,15 yrs.,OAO ISS,Russia,Baikonur Cosmodrome,Proton M,2011-074A,37950,2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsat-Oscar 7 (AO-7),USA,USA,Amsat-NA,Civil,Communications,,LEO,Sun-Synchronous,0,1440,1459,1.21E-03,101.4,114.9,29,,,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,1974-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angels (Automated Navigation and Guidance Experiment for Local Space, USA 255)",NR,USA,Air Force Research Laboratory (AFRL),Military,Technology Development,,GEO,,,35900,35900,0E+00,,,70,,,1 yr.,Orbital Sciences Corp.,USA,Cape Canaveral,Delta 4M,2014-043C,40101,2014-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.27,35778,35793,1.78E-04,0.02,1436.08,4710,2950,"15,500 (EOL)",15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,2000-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.3,35777,35795,2.13E-04,0.02,1436.1,4500,,10000,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868,2005-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F2,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-111.07,35781,35790,1.07E-04,0.01,1436.08,5910,3805,16000,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,2004-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-118.69,35778,35794,1.9E-04,0.01,1436.1,4715,,17500,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102,2007-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik G1,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.3,35773,35799,3.08E-04,0.01,1436.08,4905,,17500,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-014A,39127,2013-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AntelSat,NR,Uruguay,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Civil,Technology Development,,LEO,Sun-Synchronous,0,612,696,5.98E-03,97.96,96.99,2,,,,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Uruguay,Dombarovsky Air Base,Dnepr,2014-033AA,40034,2014-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 1 (LatinSat-C),USA,Argentina,Aprize Satellites Argentina,Commercial,Communications (experimental),,LEO,Sun-Synchronous,0,696,764,4.79E-03,98,99.4,12,12,,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025G,28372,2004-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 10 (exactView-13),NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,,LEO,,0,613,733,8.52E-03,97.9,98,12,12,,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019,2014-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 2 (LatinSat-D),USA,Argentina,Aprize Satellites Argentina,Commercial,Communications (experimental),,LEO,Sun-Synchronous,0,694,850,1.09E-02,98.2,100.3,12,12,,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025A,28366,2004-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 3 (exactView-3),USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,,LEO,Sun-Synchronous,0,559,662,7.38E-03,98.18,97,12,12,,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686,2009-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 4 (exactView-4),USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,,LEO,Sun-Synchronous,0,604,674,4.99E-03,98.1,97.5,12,12,,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684,2009-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
